Order_ID,Order_Date,Region,Product_Category,Sub_Category,Units_Sold,Unit_Cost,Unit_Price,Inventory_Days,Revenue,Cost,Profit
ORD00034,2023-11-08,South,Grocery,Beverages,16,114.74,177.89,12,2846.24,1835.84,1010.4
ORD00035,2023-09-12,East,Grocery,Snacks,13,139.95,258.64,63,3362.32,1819.35,1542.97
ORD00036,2024-09-26,East,Grocery,Grains,18,334.32,409.89,29,7378.02,6017.76,1360.26
ORD00037,2023-12-21,North,Apparel,Shirt,19,370.51,384.35,45,7302.65,7039.69,262.96
ORD00038,2024-01-08,North,Electronics,Headphones,16,256.4,385.04,25,6160.64,4102.4,2058.24
ORD00039,2024-07-06,West,Electronics,Mobile,3,301.57,404.48,35,1213.44,904.71,308.73
ORD00040,2024-06-30,West,Electronics,Headphones,8,293.67,304.43,15,2435.44,2349.36,86.08
ORD00041,2023-11-15,West,Furniture,Table,7,338.17,388.73,38,2721.11,2367.19,353.92
ORD00042,2025-02-09,North,Apparel,Jacket,10,234.04,373.75,14,3737.5,2340.4,1397.1
ORD00043,2023-10-19,East,Grocery,Grains,19,498.09,513.71,32,9760.49,9463.71,296.78
ORD00044,2023-08-03,West,Apparel,Shoes,3,440.84,499.42,25,1498.26,1322.52,175.74
ORD00045,2024-01-13,North,Furniture,Sofa,17,13.83,137.31,43,2334.27,235.11,2099.16
ORD00046,2025-05-06,East,Apparel,Shoes,4,445.96,558.61,24,2234.44,1783.84,450.6
ORD00047,2023-11-23,East,Furniture,Sofa,7,361.63,396.15,86,2773.05,2531.41,241.64
ORD00048,2025-06-02,North,Grocery,Beverages,2,55.23,121.65,40,243.3,110.46,132.84
ORD00049,2025-05-23,West,Electronics,Laptop,5,322.19,365.17,61,1825.85,1610.95,214.9
ORD00050,2024-11-02,North,Electronics,Mobile,3,473.07,578.27,24,1734.81,1419.21,315.6
ORD00051,2023-07-22,East,Furniture,Sofa,18,82.57,106.05,44,1908.9,1486.26,422.64
ORD00052,2024-09-14,West,Electronics,Laptop,7,344.21,445.92,50,3121.44,2409.47,711.97
ORD00053,2024-08-07,North,Apparel,Shirt,6,488.34,610.9,57,3665.4,2930.04,735.36
ORD00054,2023-08-16,South,Apparel,Jacket,11,393.37,458.07,90,5038.77,4327.07,711.7
ORD00055,2024-04-13,South,Furniture,Chair,4,197.45,208.07,65,832.28,789.8,42.48
ORD00056,2024-01-26,South,Apparel,Shoes,12,159.54,279.87,34,3358.44,1914.48,1443.96
ORD00057,2024-09-11,East,Electronics,Headphones,7,205.25,250.65,13,1754.55,1436.75,317.8
ORD00058,2023-09-09,East,Furniture,Sofa,17,205.84,353.11,73,6002.87,3499.28,2503.59
ORD00059,2023-11-23,North,Electronics,Mobile,9,97.5,242.07,38,2178.63,877.5,1301.13
ORD00060,2023-12-07,North,Electronics,Headphones,14,179.39,298.42,60,4177.88,2511.46,1666.42
ORD00061,2025-06-03,South,Grocery,Grains,7,134.81,242.58,5,1698.06,943.67,754.39
ORD00062,2025-05-19,East,Furniture,Table,3,474.95,613.46,84,1840.38,1424.85,415.53
ORD00063,2023-07-19,West,Electronics,Headphones,10,258.49,360.19,46,3601.9,2584.9,1017.0
ORD00064,2024-10-12,South,Furniture,Sofa,5,104.0,205.41,53,1027.05,520.0,507.05
ORD00065,2024-04-12,West,Furniture,Table,18,418.53,467.59,31,8416.62,7533.54,883.08
ORD00066,2023-11-02,South,Furniture,Table,15,226.66,262.65,65,3939.75,3399.9,539.85
ORD00067,2023-07-10,South,Electronics,Laptop,17,335.29,430.08,16,7311.36,5699.93,1611.43
ORD00068,2023-09-15,North,Furniture,Chair,7,82.2,93.9,65,657.3,575.4,81.9
ORD00069,2023-10-10,West,Grocery,Beverages,19,105.27,211.24,68,4013.56,2000.13,2013.43
ORD00070,2024-10-22,West,Apparel,Shirt,1,447.4,577.16,18,577.16,447.4,129.76
ORD00071,2024-09-20,West,Apparel,Shirt,17,237.63,323.45,20,5498.65,4039.71,1458.94
ORD00072,2025-03-23,West,Apparel,Shoes,17,494.07,585.41,61,9951.97,8399.19,1552.78
ORD00073,2024-07-04,East,Grocery,Snacks,16,230.53,344.54,86,5512.64,3688.48,1824.16
ORD00074,2024-03-29,South,Grocery,Grains,8,144.55,160.79,41,1286.32,1156.4,129.92
ORD00075,2025-05-07,South,Furniture,Table,11,447.58,464.26,24,5106.86,4923.38,183.48
ORD00076,2023-09-02,East,Grocery,Grains,5,356.15,370.46,57,1852.3,1780.75,71.55
ORD00077,2024-10-24,North,Grocery,Beverages,2,111.35,177.27,79,354.54,222.7,131.84
ORD00078,2024-09-01,West,Grocery,Beverages,1,471.94,520.24,54,520.24,471.94,48.3
ORD00079,2024-08-23,East,Apparel,Shoes,8,143.74,219.16,54,1753.28,1149.92,603.36
ORD00080,2025-03-24,North,Grocery,Grains,6,421.85,560.18,84,3361.08,2531.1,829.98
ORD00081,2025-05-02,South,Grocery,Grains,19,334.87,352.04,59,6688.76,6362.53,326.23
ORD00082,2025-03-28,East,Grocery,Snacks,2,137.48,189.95,63,379.9,274.96,104.94
ORD00083,2025-04-22,North,Furniture,Table,9,378.48,504.11,37,4536.99,3406.32,1130.67
ORD00084,2024-04-29,North,Grocery,Snacks,18,35.52,178.55,33,3213.9,639.36,2574.54
ORD00085,2024-08-30,South,Electronics,Mobile,8,107.69,115.65,24,925.2,861.52,63.68
ORD00086,2023-11-04,East,Apparel,Shoes,4,286.35,322.95,37,1291.8,1145.4,146.4
ORD00087,2024-02-07,East,Apparel,Jacket,20,482.23,591.39,25,11827.8,9644.6,2183.2
ORD00088,2023-08-18,West,Electronics,Headphones,1,465.15,553.64,53,553.64,465.15,88.49
ORD00089,2023-07-04,East,Apparel,Shirt,19,348.4,444.35,18,8442.65,6619.6,1823.05
ORD00090,2023-09-09,North,Electronics,Headphones,2,180.13,247.24,52,494.48,360.26,134.22
ORD00091,2025-01-03,West,Furniture,Chair,14,412.94,433.24,51,6065.36,5781.16,284.2
ORD00092,2024-07-10,West,Apparel,Shoes,6,369.56,514.55,39,3087.3,2217.36,869.94
ORD00093,2025-04-18,East,Grocery,Beverages,19,141.51,270.01,16,5130.19,2688.69,2441.5
ORD00094,2024-07-01,North,Grocery,Snacks,15,289.23,391.12,48,5866.8,4338.45,1528.35
ORD00095,2024-09-13,East,Grocery,Beverages,6,248.9,305.35,38,1832.1,1493.4,338.7
ORD00096,2024-03-17,North,Furniture,Sofa,9,282.34,362.25,29,3260.25,2541.06,719.19
ORD00097,2024-01-20,West,Apparel,Jacket,14,249.4,364.33,65,5100.62,3491.6,1609.02
ORD00098,2025-03-17,East,Grocery,Snacks,3,154.18,217.82,36,653.46,462.54,190.92
ORD00099,2024-07-04,East,Furniture,Table,18,270.15,336.85,75,6063.3,4862.7,1200.6
ORD00100,2024-03-12,South,Furniture,Sofa,15,142.75,184.2,20,2763.0,2141.25,621.75
ORD00101,2024-09-01,South,Furniture,Chair,18,475.93,581.0,29,10458.0,8566.74,1891.26
ORD00102,2024-06-25,North,Grocery,Beverages,19,488.54,569.61,41,10822.59,9282.26,1540.33
ORD00103,2025-02-27,South,Apparel,Shoes,8,186.83,235.66,73,1885.28,1494.64,390.64
ORD00104,2024-06-21,West,Furniture,Chair,2,281.15,387.28,21,774.56,562.3,212.26
ORD00105,2024-04-03,South,Electronics,Mobile,19,149.33,223.74,48,4251.06,2837.27,1413.79
ORD00106,2024-08-03,North,Electronics,Laptop,16,65.9,80.37,67,1285.92,1054.4,231.52
ORD00107,2024-02-13,South,Electronics,Mobile,5,407.46,550.08,15,2750.4,2037.3,713.1
ORD00108,2025-01-09,West,Electronics,Headphones,14,307.1,426.76,33,5974.64,4299.4,1675.24
ORD00109,2024-11-28,North,Grocery,Beverages,10,431.48,580.03,44,5800.3,4314.8,1485.5
ORD00110,2023-08-16,South,Electronics,Mobile,7,139.68,156.45,35,1095.15,977.76,117.39
ORD00111,2024-12-22,East,Electronics,Mobile,1,210.17,315.13,65,315.13,210.17,104.96
ORD00112,2024-12-13,North,Electronics,Mobile,10,356.41,463.34,63,4633.4,3564.1,1069.3
ORD00113,2024-01-27,North,Apparel,Shoes,19,333.98,474.36,59,9012.84,6345.62,2667.22
ORD00114,2023-09-07,North,Apparel,Jacket,5,455.12,579.98,14,2899.9,2275.6,624.3
ORD00115,2023-12-02,West,Apparel,Shoes,20,376.99,464.53,41,9290.6,7539.8,1750.8
ORD00116,2024-04-16,West,Electronics,Laptop,10,352.87,494.56,69,4945.6,3528.7,1416.9
ORD00117,2024-08-24,East,Grocery,Snacks,20,29.53,97.17,46,1943.4,590.6,1352.8
ORD00118,2024-07-25,North,Electronics,Mobile,8,481.34,607.55,78,4860.4,3850.72,1009.68
ORD00119,2023-12-09,West,Furniture,Sofa,2,383.92,414.32,71,828.64,767.84,60.8
ORD00120,2025-04-14,West,Furniture,Chair,19,223.58,346.65,16,6586.35,4248.02,2338.33
ORD00121,2024-09-19,East,Furniture,Table,11,167.32,187.49,25,2062.39,1840.52,221.87
ORD00122,2023-08-08,North,Grocery,Grains,16,151.23,293.28,75,4692.48,2419.68,2272.8
ORD00123,2024-02-10,North,Grocery,Snacks,11,133.68,155.49,56,1710.39,1470.48,239.91
ORD00124,2024-03-01,West,Grocery,Beverages,2,101.92,159.38,68,318.76,203.84,114.92
ORD00125,2025-03-15,West,Electronics,Mobile,9,279.12,418.63,61,3767.67,2512.08,1255.59
ORD00126,2024-02-08,North,Electronics,Mobile,20,401.66,509.58,44,10191.6,8033.2,2158.4
ORD00127,2024-04-29,North,Grocery,Snacks,8,496.21,633.58,64,5068.64,3969.68,1098.96
ORD00128,2024-06-24,West,Apparel,Shoes,10,259.35,304.0,66,3040.0,2593.5,446.5
ORD00129,2023-09-09,South,Apparel,Shoes,18,80.87,113.51,81,2043.18,1455.66,587.52
ORD00130,2025-01-25,North,Electronics,Laptop,14,176.54,295.76,39,4140.64,2471.56,1669.08
ORD00131,2024-07-05,West,Furniture,Sofa,10,420.36,509.45,89,5094.5,4203.6,890.9
ORD00132,2024-03-19,West,Apparel,Shoes,18,247.33,300.53,74,5409.54,4451.94,957.6
ORD00133,2024-08-09,South,Grocery,Beverages,7,490.58,530.21,54,3711.47,3434.06,277.41
ORD00134,2024-09-19,West,Grocery,Snacks,11,374.91,482.17,53,5303.87,4124.01,1179.86
ORD00135,2024-08-08,North,Apparel,Shoes,2,71.86,216.84,47,433.68,143.72,289.96
ORD00136,2023-09-16,West,Grocery,Snacks,17,456.12,463.35,23,7876.95,7754.04,122.91
ORD00137,2023-11-18,West,Apparel,Shirt,16,392.95,436.38,84,6982.08,6287.2,694.88
ORD00138,2024-03-26,North,Electronics,Laptop,18,196.2,247.12,67,4448.16,3531.6,916.56
ORD00139,2023-08-17,North,Electronics,Mobile,10,498.74,612.02,60,6120.2,4987.4,1132.8
ORD00140,2023-10-09,East,Electronics,Laptop,6,350.06,486.06,10,2916.36,2100.36,816.0
ORD00141,2023-08-06,West,Electronics,Laptop,12,193.67,219.78,72,2637.36,2324.04,313.32
ORD00142,2025-02-02,South,Apparel,Shirt,6,48.69,179.96,84,1079.76,292.14,787.62
ORD00143,2025-06-22,East,Grocery,Grains,5,123.77,221.27,63,1106.35,618.85,487.5
ORD00144,2024-05-12,East,Electronics,Laptop,10,342.03,369.94,61,3699.4,3420.3,279.1
ORD00145,2025-06-25,South,Furniture,Sofa,14,348.25,419.49,43,5872.86,4875.5,997.36
ORD00146,2024-12-05,East,Grocery,Beverages,4,126.23,214.16,78,856.64,504.92,351.72
ORD00147,2024-11-11,West,Furniture,Chair,13,144.5,231.56,11,3010.28,1878.5,1131.78
ORD00148,2025-03-01,East,Furniture,Chair,20,402.95,439.71,29,8794.2,8059.0,735.2
ORD00149,2023-09-12,West,Apparel,Jacket,4,452.67,551.39,44,2205.56,1810.68,394.88
ORD00150,2024-06-25,East,Electronics,Headphones,12,368.86,386.93,42,4643.16,4426.32,216.84
ORD00151,2024-04-17,East,Grocery,Snacks,7,74.76,157.97,51,1105.79,523.32,582.47
ORD00152,2025-03-23,North,Apparel,Shoes,16,484.02,531.82,48,8509.12,7744.32,764.8
ORD00153,2025-02-05,East,Grocery,Snacks,5,379.53,417.24,55,2086.2,1897.65,188.55
ORD00154,2024-04-24,East,Electronics,Laptop,1,139.58,162.5,52,162.5,139.58,22.92
ORD00155,2024-10-22,East,Grocery,Grains,12,63.09,101.99,8,1223.88,757.08,466.8
ORD00156,2023-07-08,West,Apparel,Jacket,3,321.35,393.67,43,1181.01,964.05,216.96
ORD00157,2024-06-14,North,Electronics,Mobile,2,473.67,522.8,68,1045.6,947.34,98.26
ORD00158,2024-07-06,West,Electronics,Mobile,18,76.48,147.26,90,2650.68,1376.64,1274.04
ORD00159,2024-01-08,North,Apparel,Shoes,4,418.51,512.78,40,2051.12,1674.04,377.08
ORD00160,2025-03-14,North,Furniture,Chair,15,227.9,267.14,51,4007.1,3418.5,588.6
ORD00161,2024-07-14,West,Furniture,Sofa,12,39.67,84.67,20,1016.04,476.04,540.0
ORD00162,2025-04-13,North,Electronics,Headphones,7,324.44,416.03,7,2912.21,2271.08,641.13
ORD00163,2024-02-11,South,Furniture,Chair,5,395.62,430.37,75,2151.85,1978.1,173.75
ORD00164,2025-05-24,North,Apparel,Shirt,11,389.44,508.79,81,5596.69,4283.84,1312.85
ORD00165,2024-08-13,North,Furniture,Chair,5,274.71,395.49,19,1977.45,1373.55,603.9
ORD00166,2024-03-03,North,Apparel,Shirt,12,397.09,436.59,46,5239.08,4765.08,474.0
ORD00167,2024-02-21,North,Apparel,Shoes,2,72.11,138.15,19,276.3,144.22,132.08
ORD00168,2024-01-20,South,Grocery,Beverages,12,261.49,282.3,69,3387.6,3137.88,249.72
ORD00169,2024-12-25,North,Electronics,Headphones,17,157.8,256.08,8,4353.36,2682.6,1670.76
ORD00170,2024-10-22,North,Grocery,Beverages,14,346.19,422.28,61,5911.92,4846.66,1065.26
ORD00171,2024-03-14,East,Electronics,Laptop,20,82.68,105.98,84,2119.6,1653.6,466.0
ORD00172,2023-11-18,North,Grocery,Grains,17,154.5,232.8,60,3957.6,2626.5,1331.1
ORD00173,2024-12-31,South,Electronics,Headphones,18,363.21,399.39,62,7189.02,6537.78,651.24
ORD00174,2024-11-28,West,Grocery,Beverages,15,205.38,316.17,45,4742.55,3080.7,1661.85
ORD00175,2024-04-06,North,Furniture,Sofa,9,193.41,220.54,65,1984.86,1740.69,244.17
ORD00176,2025-06-23,South,Electronics,Mobile,3,221.62,334.59,52,1003.77,664.86,338.91
ORD00177,2024-08-31,East,Electronics,Headphones,18,285.22,387.37,57,6972.66,5133.96,1838.7
ORD00178,2025-01-14,North,Grocery,Grains,2,484.52,576.58,50,1153.16,969.04,184.12
ORD00179,2023-12-29,East,Apparel,Shirt,16,119.88,140.57,76,2249.12,1918.08,331.04
ORD00180,2025-04-08,North,Electronics,Laptop,19,120.82,188.04,76,3572.76,2295.58,1277.18
ORD00181,2025-05-13,East,Furniture,Chair,6,143.9,259.45,48,1556.7,863.4,693.3
ORD00182,2025-06-14,North,Electronics,Mobile,5,287.5,350.61,23,1753.05,1437.5,315.55
ORD00183,2024-03-26,South,Electronics,Headphones,17,115.42,181.3,48,3082.1,1962.14,1119.96
ORD00184,2023-09-28,North,Furniture,Table,11,390.65,477.95,15,5257.45,4297.15,960.3
ORD00185,2025-06-19,West,Apparel,Shirt,20,34.38,51.21,61,1024.2,687.6,336.6
ORD00186,2024-03-21,North,Grocery,Grains,15,212.95,249.21,70,3738.15,3194.25,543.9
ORD00187,2024-07-14,East,Furniture,Table,4,148.79,252.17,67,1008.68,595.16,413.52
ORD00188,2025-02-28,East,Electronics,Mobile,13,492.38,505.32,31,6569.16,6400.94,168.22
ORD00189,2025-04-19,West,Apparel,Shirt,9,151.83,174.23,68,1568.07,1366.47,201.6
ORD00190,2024-03-11,East,Apparel,Shirt,13,270.97,309.34,76,4021.42,3522.61,498.81
ORD00191,2025-04-13,East,Electronics,Laptop,2,223.75,295.41,14,590.82,447.5,143.32
ORD00192,2023-12-28,West,Grocery,Grains,13,357.65,423.22,19,5501.86,4649.45,852.41
ORD00193,2024-12-22,North,Electronics,Laptop,6,402.65,497.28,51,2983.68,2415.9,567.78
ORD00194,2024-10-25,West,Grocery,Snacks,8,223.48,286.55,15,2292.4,1787.84,504.56
ORD00195,2024-03-16,North,Furniture,Sofa,11,118.57,236.54,14,2601.94,1304.27,1297.67
ORD00196,2023-12-03,South,Apparel,Shoes,12,366.42,490.17,23,5882.04,4397.04,1485.0
ORD00197,2023-09-10,North,Electronics,Mobile,9,106.66,199.01,88,1791.09,959.94,831.15
ORD00198,2024-11-22,West,Apparel,Jacket,16,237.34,324.08,79,5185.28,3797.44,1387.84
ORD00199,2023-08-15,East,Furniture,Sofa,11,83.97,98.87,61,1087.57,923.67,163.9
ORD00200,2024-03-30,West,Furniture,Sofa,2,182.45,198.21,64,396.42,364.9,31.52
ORD00201,2024-03-17,West,Electronics,Mobile,12,417.53,433.66,16,5203.92,5010.36,193.56
ORD00202,2025-02-14,West,Grocery,Grains,18,477.57,589.71,10,10614.78,8596.26,2018.52
ORD00203,2023-12-24,West,Apparel,Shoes,20,243.06,269.93,12,5398.6,4861.2,537.4
ORD00204,2024-01-23,West,Electronics,Laptop,3,257.23,287.25,36,861.75,771.69,90.06
ORD00205,2024-11-13,West,Grocery,Grains,17,308.8,366.57,41,6231.69,5249.6,982.09
ORD00206,2023-10-27,North,Grocery,Beverages,20,35.66,132.14,47,2642.8,713.2,1929.6
ORD00207,2025-02-18,South,Furniture,Chair,18,342.41,388.61,89,6994.98,6163.38,831.6
ORD00208,2025-02-19,West,Furniture,Chair,19,335.17,473.1,44,8988.9,6368.23,2620.67
ORD00209,2023-09-01,South,Apparel,Jacket,3,161.7,221.32,47,663.96,485.1,178.86
ORD00210,2024-06-07,South,Electronics,Headphones,14,259.16,266.8,44,3735.2,3628.24,106.96
ORD00211,2025-06-09,North,Apparel,Shoes,16,104.08,254.08,24,4065.28,1665.28,2400.0
ORD00212,2025-03-14,North,Furniture,Chair,17,387.73,513.82,72,8734.94,6591.41,2143.53
ORD00213,2024-03-08,South,Furniture,Sofa,5,302.65,330.02,28,1650.1,1513.25,136.85
ORD00214,2024-02-12,East,Grocery,Snacks,14,188.51,297.85,61,4169.9,2639.14,1530.76
ORD00215,2024-06-10,South,Grocery,Snacks,18,127.19,272.2,65,4899.6,2289.42,2610.18
ORD00216,2024-06-06,West,Furniture,Sofa,19,492.38,564.32,41,10722.08,9355.22,1366.86
ORD00217,2024-07-29,North,Grocery,Snacks,7,402.62,427.69,37,2993.83,2818.34,175.49
ORD00218,2023-09-11,North,Grocery,Beverages,18,467.8,575.95,71,10367.1,8420.4,1946.7
ORD00219,2025-01-08,West,Furniture,Chair,6,143.67,279.94,23,1679.64,862.02,817.62
ORD00220,2024-01-07,North,Electronics,Mobile,15,443.47,583.39,58,8750.85,6652.05,2098.8
ORD00221,2025-06-02,South,Grocery,Grains,12,125.53,274.74,52,3296.88,1506.36,1790.52
ORD00222,2024-05-17,South,Electronics,Laptop,4,421.2,520.44,23,2081.76,1684.8,396.96
ORD00223,2024-01-14,West,Electronics,Laptop,16,351.08,376.2,65,6019.2,5617.28,401.92
ORD00224,2023-12-09,West,Electronics,Mobile,1,135.4,261.47,75,261.47,135.4,126.07
ORD00225,2024-09-27,West,Electronics,Laptop,8,157.56,169.48,58,1355.84,1260.48,95.36
ORD00226,2024-11-11,South,Electronics,Mobile,16,302.4,309.78,70,4956.48,4838.4,118.08
ORD00227,2024-09-15,West,Apparel,Shoes,14,10.77,66.93,78,937.02,150.78,786.24
ORD00228,2025-04-09,North,Apparel,Jacket,3,266.51,323.8,72,971.4,799.53,171.87
ORD00229,2024-01-06,North,Grocery,Beverages,2,321.48,468.73,37,937.46,642.96,294.5
ORD00230,2023-11-23,East,Furniture,Chair,12,128.15,228.43,18,2741.16,1537.8,1203.36
ORD00231,2023-10-12,West,Apparel,Shirt,12,277.55,400.51,27,4806.12,3330.6,1475.52
ORD00232,2024-06-11,North,Grocery,Grains,6,407.63,421.78,63,2530.68,2445.78,84.9
ORD00233,2023-12-26,East,Furniture,Chair,2,397.64,531.08,45,1062.16,795.28,266.88
ORD00234,2023-09-05,East,Grocery,Grains,16,134.12,248.35,29,3973.6,2145.92,1827.68
ORD00235,2024-01-24,West,Furniture,Chair,11,143.88,264.78,60,2912.58,1582.68,1329.9
ORD00236,2025-06-22,East,Grocery,Beverages,11,487.12,564.07,68,6204.77,5358.32,846.45
ORD00237,2023-11-20,East,Furniture,Chair,14,48.67,141.03,28,1974.42,681.38,1293.04
ORD00238,2025-02-07,West,Furniture,Chair,3,170.68,218.55,62,655.65,512.04,143.61
ORD00239,2025-02-04,West,Apparel,Jacket,15,182.26,193.4,50,2901.0,2733.9,167.1
ORD00240,2025-05-15,South,Furniture,Sofa,2,46.77,144.21,51,288.42,93.54,194.88
ORD00241,2025-02-12,North,Electronics,Mobile,20,342.26,410.8,21,8216.0,6845.2,1370.8
ORD00242,2024-05-19,South,Apparel,Jacket,12,187.45,330.12,9,3961.44,2249.4,1712.04
ORD00243,2025-05-17,East,Grocery,Beverages,12,227.53,243.68,22,2924.16,2730.36,193.8
ORD00244,2023-09-05,West,Grocery,Beverages,9,132.31,153.76,28,1383.84,1190.79,193.05
ORD00245,2024-05-25,South,Grocery,Grains,4,138.27,181.01,62,724.04,553.08,170.96
ORD00246,2024-02-19,West,Furniture,Sofa,16,108.09,132.77,14,2124.32,1729.44,394.88
ORD00247,2025-01-01,East,Apparel,Jacket,15,498.66,621.18,45,9317.7,7479.9,1837.8
ORD00248,2024-11-25,South,Electronics,Headphones,18,152.28,200.77,25,3613.86,2741.04,872.82
ORD00249,2024-05-27,South,Furniture,Sofa,8,69.47,103.61,22,828.88,555.76,273.12
ORD00250,2024-06-27,South,Grocery,Snacks,12,281.47,339.96,75,4079.52,3377.64,701.88
ORD00251,2024-11-28,West,Electronics,Mobile,10,205.1,314.06,66,3140.6,2051.0,1089.6
ORD00252,2023-09-17,West,Grocery,Grains,3,71.41,122.38,14,367.14,214.23,152.91
ORD00253,2023-10-02,South,Grocery,Grains,17,178.81,311.11,75,5288.87,3039.77,2249.1
ORD00254,2023-11-04,South,Apparel,Shoes,17,456.25,469.28,20,7977.76,7756.25,221.51
ORD00255,2024-09-11,East,Furniture,Chair,6,168.1,275.95,49,1655.7,1008.6,647.1
ORD00256,2024-01-18,East,Electronics,Laptop,7,321.18,406.05,21,2842.35,2248.26,594.09
ORD00257,2023-09-17,East,Electronics,Headphones,6,299.99,389.18,26,2335.08,1799.94,535.14
ORD00258,2025-04-10,East,Electronics,Mobile,3,32.28,130.29,78,390.87,96.84,294.03
ORD00259,2023-12-09,East,Apparel,Jacket,14,312.87,322.26,85,4511.64,4380.18,131.46
ORD00260,2024-09-05,West,Furniture,Table,8,404.3,508.62,43,4068.96,3234.4,834.56
ORD00261,2025-03-25,South,Electronics,Headphones,2,87.46,152.73,64,305.46,174.92,130.54
ORD00262,2025-06-13,West,Furniture,Sofa,5,163.17,272.33,49,1361.65,815.85,545.8
ORD00263,2023-09-02,North,Apparel,Shoes,17,285.21,336.48,64,5720.16,4848.57,871.59
ORD00264,2023-10-06,West,Furniture,Table,8,79.03,91.37,54,730.96,632.24,98.72
ORD00265,2024-08-10,South,Apparel,Shirt,11,467.54,577.1,29,6348.1,5142.94,1205.16
ORD00266,2024-04-03,North,Grocery,Grains,15,254.39,304.13,7,4561.95,3815.85,746.1
ORD00267,2025-05-05,North,Grocery,Grains,15,483.68,519.88,50,7798.2,7255.2,543.0
ORD00268,2023-10-26,East,Electronics,Laptop,16,302.78,429.99,65,6879.84,4844.48,2035.36
ORD00269,2023-10-15,West,Electronics,Mobile,14,75.63,118.98,51,1665.72,1058.82,606.9
ORD00270,2024-05-20,East,Furniture,Chair,13,35.07,121.53,51,1579.89,455.91,1123.98
ORD00271,2023-10-03,North,Electronics,Laptop,17,230.67,315.4,84,5361.8,3921.39,1440.41
ORD00272,2023-12-14,East,Apparel,Shirt,13,192.87,340.95,76,4432.35,2507.31,1925.04
ORD00273,2024-10-13,North,Apparel,Shirt,20,259.47,336.98,10,6739.6,5189.4,1550.2
